perturbation_type	layer	position_label	mean_abs_delta	median_abs_delta	max_abs_delta	feature_delta_rows	shifted_feature_count	mean_topk_jaccard	mean_jaccard_distance	min_topk_jaccard	max_jaccard_distance	comparison_count	rank_mean_abs_delta_within_layer_position	rank_jaccard_distance_within_layer_position
e_to_ē	14	final_prompt_token_minus_2	0.1715231564154294	0.1382146775722503	1.1853916645050049	447	256	0.1317145957677699	0.8682854042322301	0.0309278350515463	0.9690721649484537	5	1	1
random_readable_unicode_control	14	final_prompt_token_minus_2	0.16132936953817523	0.1302872151136398	1.348802089691162	394	256	0.3493434604036218	0.6506565395963781	0.0416666666666666	0.9583333333333334	5	2	3
s_to_ş	14	final_prompt_token_minus_2	0.159953083385186	0.1392466425895691	1.0955259799957275	415	247	0.21312371838687624	0.7868762816131237	0.0526315789473684	0.9473684210526316	5	3	2
s_to_ṡ	14	final_prompt_token_minus_2	0.10135632211700452	0.1058078408241272	0.4678908586502075	359	218	0.40032300371779445	0.5996769962822056	0.2345679012345679	0.7654320987654322	5	4	4
d_to_ḑ	14	final_prompt_token_minus_2	0.036261144291115446	0.0157038122415542	0.1536953449249267	279	180	0.7963769341746453	0.2036230658253547	0.639344262295082	0.360655737704918	5	5	5
s_to_ṡ	14	final_prompt_token_minus_5	0.19680825852114575	0.1558820009231567	1.491326093673706	493	262	0.014266375091117339	0.9857336249088828	0.0101010101010101	0.98989898989899	5	1	1
s_to_ş	14	final_prompt_token_minus_5	0.18086857608046603	0.1480445563793182	1.0292831659317017	451	266	0.11163915670511686	0.8883608432948831	0.0526315789473684	0.9473684210526316	5	2	3
e_to_ē	14	final_prompt_token_minus_5	0.1737310494160862	0.14313755929470057	1.0292831659317017	454	266	0.10322159812816767	0.8967784018718323	0.0416666666666666	0.9583333333333334	5	3	2
random_readable_unicode_control	14	final_prompt_token_minus_5	0.13327563026539727	0.1179670318961143	1.0292831659317017	387	251	0.34511826261315964	0.6548817373868403	0.1111111111111111	0.8888888888888888	5	4	4
d_to_ḑ	14	final_prompt_token_minus_5	0.05421214362561902	0.0327693223953247	0.2854330539703369	293	177	0.7090490757445028	0.2909509242554972	0.639344262295082	0.360655737704918	5	5	5
s_to_ş	26	final_prompt_token	0.15261787123776768	0.16587168723344795	0.6487118601799011	370	204	0.35770731584020055	0.6422926841597995	0.2048192771084337	0.7951807228915663	5	1	1
e_to_ē	26	final_prompt_token	0.1292607371961824	0.1572845727205276	0.6487118601799011	339	183	0.4761252053415923	0.5238747946584077	0.4084507042253521	0.5915492957746479	5	2	2
s_to_ṡ	26	final_prompt_token	0.11149167280860628	0.1364537477493286	0.4091207385063171	327	177	0.5310835482110255	0.46891645178897445	0.4925373134328358	0.5074626865671642	5	3	3
random_readable_unicode_control	26	final_prompt_token	0.09163737841987296	0.0537235736846923	0.3413630127906799	309	170	0.6210384833050367	0.37896151669496325	0.5625	0.4375	5	4	4
d_to_ḑ	26	final_prompt_token	0.07165407684899988	0.0307759642601013	0.2866283059120178	295	154	0.6953048899279174	0.3046951100720826	0.6666666666666666	0.33333333333333337	5	5	5
s_to_ş	26	final_prompt_token_minus_1	0.15426159807493986	0.1633476465940475	0.8585326671600342	355	218	0.41267591359446837	0.5873240864055316	0.282051282051282	0.7179487179487181	5	1	1
e_to_ē	26	final_prompt_token_minus_1	0.1403451133139279	0.1602677851915359	0.6287922859191895	343	215	0.4597853360605466	0.5402146639394535	0.3888888888888889	0.6111111111111112	5	2	2
s_to_ṡ	26	final_prompt_token_minus_1	0.09862013166100274	0.064970850944519	0.522367537021637	303	185	0.655578339788866	0.3444216602111339	0.5151515151515151	0.48484848484848486	5	3	4
random_readable_unicode_control	26	final_prompt_token_minus_1	0.09752549177133718	0.054026819765567696	0.5464644432067871	304	187	0.6478168125027208	0.35218318749727917	0.5384615384615384	0.46153846153846156	5	4	3
d_to_ḑ	26	final_prompt_token_minus_1	0.052819515520876055	0.0225601196289062	0.3622224330902099	275	165	0.8186628186628188	0.18133718133718132	0.7857142857142857	0.2142857142857143	5	5	5
s_to_ş	26	final_prompt_token_minus_10	0.28007666763539113	0.2381728813052177	2.08472752571106	480	342	0.0420710172574616	0.9579289827425385	0.0101010101010101	0.98989898989899	5	1	2
e_to_ē	26	final_prompt_token_minus_10	0.27959773356675116	0.23955999314784998	1.4845237731933594	488	329	0.02479141576885936	0.9752085842311405	0.0101010101010101	0.98989898989899	5	2	1
s_to_ṡ	26	final_prompt_token_minus_10	0.2774869986112762	0.2390888333320617	1.5216026306152344	477	293	0.04861323634051286	0.951386763659487	0.0204081632653061	0.9795918367346939	5	3	3
random_readable_unicode_control	26	final_prompt_token_minus_10	0.24432355673874123	0.2224206924438476	1.59057879447937	425	300	0.20194788441692463	0.7980521155830753	0.0416666666666666	0.9583333333333334	5	4	4
d_to_ḑ	26	final_prompt_token_minus_10	0.10450620019789965	0.0611165165901184	0.3500725030899048	303	194	0.6526497312095652	0.3473502687904349	0.5873015873015873	0.4126984126984127	5	5	5
e_to_ē	26	final_prompt_token_minus_2	0.2389815084385068	0.1976185739040374	1.7058534622192385	445	259	0.14148599201818304	0.8585140079818171	0.0204081632653061	0.9795918367346939	5	1	1
random_readable_unicode_control	26	final_prompt_token_minus_2	0.23510857737239665	0.20515467971563334	2.2818753719329834	408	259	0.29595597113728445	0.7040440288627157	0.0101010101010101	0.98989898989899	5	2	3
s_to_ş	26	final_prompt_token_minus_2	0.22196952132045797	0.1936105191707611	1.78351092338562	423	253	0.1897276610721189	0.8102723389278811	0.0869565217391304	0.9130434782608696	5	3	2
s_to_ṡ	26	final_prompt_token_minus_2	0.1404965111422677	0.14865810424089426	0.5854744911193848	344	212	0.4575503104914869	0.5424496895085131	0.3513513513513513	0.6486486486486487	5	4	4
d_to_ḑ	26	final_prompt_token_minus_2	0.060885173918908055	0.0261084288358688	0.2251180410385131	285	182	0.7566681233635505	0.24333187663644953	0.639344262295082	0.360655737704918	5	5	5
s_to_ṡ	26	final_prompt_token_minus_5	0.297607366063378	0.2293058335781097	2.540684223175049	495	266	0.0101010101010101	0.98989898989899	0.0101010101010101	0.98989898989899	5	1	1
e_to_ē	26	final_prompt_token_minus_5	0.25956334013795646	0.21514625102281565	1.617812156677246	466	269	0.07480488543188424	0.9251951145681158	0.0416666666666666	0.9583333333333334	5	2	2
s_to_ş	26	final_prompt_token_minus_5	0.2552521074800555	0.2099630832672119	2.0964150428771973	449	270	0.12362190605155596	0.8763780939484441	0.0638297872340425	0.9361702127659575	5	3	3
random_readable_unicode_control	26	final_prompt_token_minus_5	0.20705458570271726	0.1834633871912956	1.526014804840088	400	267	0.2922186564424529	0.7077813435575471	0.0638297872340425	0.9361702127659575	5	4	4
d_to_ḑ	26	final_prompt_token_minus_5	0.07469072427510387	0.0411150753498077	0.3548462390899658	289	186	0.7315936817736823	0.2684063182263176	0.639344262295082	0.360655737704918	5	5	5
