distinction_rank	feature_id	consistent_distinction_flag	handled_control_count	handled_controls_observed	handled_controls_with_presence_shift	handled_controls_with_large_abs_delta	family_count_with_any_row	family_count_with_presence_shift	families_observed	position_count_with_any_row	position_count_with_presence_shift	positions_observed	comparison_rows	mean_abs_delta	max_abs_delta	mean_signed_delta	presence_shift_count	ascii_only_count	perturbation_only_count	both_present_count	large_abs_delta_count
52	1579	1	2	e_to_ē,s_to_ş	2	2	2	2	paraphrase_hum,yes_no_hum	4	4	final_prompt_token,final_prompt_token_minus_1,final_prompt_token_minus_2,final_prompt_token_minus_5	7	0.15324485940592628	0.2486801147460937	0.15029754596097125	5	0	5	2	5
53	1626	1	2	e_to_ē,s_to_ş	2	2	5	3	just_check_hum,original_hum,paraphrase_hum,removed_sentence_hum,yes_no_hum	2	2	final_prompt_token,final_prompt_token_minus_5	13	0.1430069185220278	0.3226480484008789	-0.07902965866602384	4	3	1	9	6
54	1631	0	2	e_to_ē,s_to_ş	0	2	1	0	yes_no_hum	2	0	final_prompt_token_minus_1,final_prompt_token_minus_2	4	0.11062061041593547	0.1970063745975494	0.08580570667982097	0	0	0	4	2
55	1659	1	2	e_to_ē,s_to_ş	2	2	3	2	just_check_hum,original_hum,removed_sentence_hum	2	2	final_prompt_token_minus_1,final_prompt_token_minus_2	8	0.10005109384655947	0.188469648361206	-0.08373314514756203	4	4	0	4	4
56	1711	1	2	e_to_ē,s_to_ş	2	2	5	5	just_check_hum,original_hum,paraphrase_hum,removed_sentence_hum,yes_no_hum	3	3	final_prompt_token_minus_10,final_prompt_token_minus_2,final_prompt_token_minus_5	7	0.4037983076913016	0.6302932500839233	0.4037983076913016	7	0	7	0	7
57	1740	0	1	s_to_ş	1	1	2	2	just_check_hum,paraphrase_hum	2	2	final_prompt_token_minus_10,final_prompt_token_minus_2	2	0.17482590675353998	0.1979709565639495	0.17482590675353998	2	0	2	0	2
58	1744	1	2	e_to_ē,s_to_ş	2	2	2	2	paraphrase_hum,yes_no_hum	2	2	final_prompt_token_minus_1,final_prompt_token_minus_5	4	0.20225287228822703	0.2415824979543686	-0.20225287228822703	4	4	0	0	4
59	1755	0	1	s_to_ş	1	1	1	1	yes_no_hum	1	1	final_prompt_token_minus_2	1	0.1937790364027023	0.1937790364027023	0.1937790364027023	1	0	1	0	1
60	1777	0	2	e_to_ē,s_to_ş	2	2	1	1	paraphrase_hum	1	1	final_prompt_token_minus_2	2	0.2139578908681869	0.2139578908681869	-0.2139578908681869	2	2	0	0	2
61	1788	0	2	e_to_ē,s_to_ş	2	2	1	1	just_check_hum	1	1	final_prompt_token_minus_10	2	0.2756829261779785	0.2756829261779785	-0.2756829261779785	2	2	0	0	2
62	1822	0	2	e_to_ē,s_to_ş	2	2	1	1	just_check_hum	1	1	final_prompt_token_minus_2	2	0.1463836133480072	0.1463836133480072	-0.1463836133480072	2	2	0	0	2
63	1844	0	2	e_to_ē,s_to_ş	1	1	3	2	just_check_hum,paraphrase_hum,yes_no_hum	2	1	final_prompt_token_minus_1,final_prompt_token_minus_10	4	0.13726750761270518	0.2700079381465912	0.13726750761270518	2	0	2	2	2
64	1877	0	1	s_to_ş	1	1	1	1	just_check_hum	1	1	final_prompt_token_minus_10	1	0.1889025568962097	0.1889025568962097	0.1889025568962097	1	0	1	0	1
65	1880	0	1	s_to_ş	1	1	1	1	original_hum	1	1	final_prompt_token_minus_10	1	0.1433432102203369	0.1433432102203369	0.1433432102203369	1	0	1	0	1
66	1929	0	1	e_to_ē	1	1	2	2	just_check_hum,paraphrase_hum	1	1	final_prompt_token_minus_10	2	0.15560133010149002	0.1722241640090942	0.15560133010149002	2	0	2	0	2
67	1930	1	2	e_to_ē,s_to_ş	2	2	4	4	just_check_hum,original_hum,paraphrase_hum,yes_no_hum	1	1	final_prompt_token_minus_10	8	0.34116339683532715	0.5232142806053162	-0.34116339683532715	8	8	0	0	8
68	1953	1	2	e_to_ē,s_to_ş	2	2	5	5	just_check_hum,original_hum,paraphrase_hum,removed_sentence_hum,yes_no_hum	4	4	final_prompt_token_minus_1,final_prompt_token_minus_10,final_prompt_token_minus_2,final_prompt_token_minus_5	28	0.3876570181122848	1.1684224605560305	0.3498424350150994	28	2	26	0	28
69	1955	0	1	s_to_ş	1	1	2	2	original_hum,removed_sentence_hum	1	1	final_prompt_token_minus_5	2	0.19174392521381375	0.1938493549823761	0.19174392521381375	2	0	2	0	2
70	1959	0	2	e_to_ē,s_to_ş	2	2	1	1	yes_no_hum	1	1	final_prompt_token_minus_1	2	0.2145965993404388	0.2145965993404388	-0.2145965993404388	2	2	0	0	2
71	1965	0	1	e_to_ē	1	1	2	2	just_check_hum,paraphrase_hum	1	1	final_prompt_token_minus_10	2	0.1700850427150726	0.1753931045532226	0.1700850427150726	2	0	2	0	2
72	1984	1	2	e_to_ē,s_to_ş	2	2	4	4	just_check_hum,original_hum,removed_sentence_hum,yes_no_hum	3	3	final_prompt_token_minus_10,final_prompt_token_minus_2,final_prompt_token_minus_5	8	0.3493974730372429	0.4568309485912323	-0.3493974730372429	8	8	0	0	8
73	1999	0	1	e_to_ē	1	1	2	2	original_hum,removed_sentence_hum	1	1	final_prompt_token_minus_10	2	0.1772108674049377	0.1821007281541824	0.1772108674049377	2	0	2	0	2
74	2005	0	1	s_to_ş	1	1	1	1	paraphrase_hum	1	1	final_prompt_token_minus_2	1	0.1880460828542709	0.1880460828542709	0.1880460828542709	1	0	1	0	1
75	2126	1	2	e_to_ē,s_to_ş	2	2	3	3	just_check_hum,original_hum,removed_sentence_hum	2	2	final_prompt_token_minus_10,final_prompt_token_minus_2	3	0.2604120175043741	0.2771537005901336	0.2604120175043741	3	0	3	0	3
76	2132	0	1	s_to_ş	1	1	1	1	removed_sentence_hum	1	1	final_prompt_token_minus_10	1	0.1261957883834839	0.1261957883834839	0.1261957883834839	1	0	1	0	1
77	2136	0	1	e_to_ē	1	1	1	1	paraphrase_hum	1	1	final_prompt_token_minus_10	1	0.1781168580055236	0.1781168580055236	0.1781168580055236	1	0	1	0	1
78	2182	0	1	s_to_ş	1	1	1	1	just_check_hum	1	1	final_prompt_token_minus_10	1	0.1951388269662857	0.1951388269662857	0.1951388269662857	1	0	1	0	1
79	2204	1	2	e_to_ē,s_to_ş	2	2	2	2	original_hum,removed_sentence_hum	1	1	final_prompt_token_minus_2	4	0.2062723040580749	0.2084182202816009	-0.2062723040580749	4	4	0	0	4
80	2228	1	2	e_to_ē,s_to_ş	2	2	3	3	just_check_hum,original_hum,removed_sentence_hum	2	2	final_prompt_token_minus_10,final_prompt_token_minus_5	5	0.2851448357105255	0.3124124407768249	-0.20536338686943054	5	4	1	0	5
81	2256	1	2	e_to_ē,s_to_ş	2	2	3	2	just_check_hum,paraphrase_hum,yes_no_hum	2	2	final_prompt_token_minus_10,final_prompt_token_minus_5	9	0.17810639407899642	0.3129851520061493	-0.1323529150750902	6	5	1	3	6
82	2275	0	1	e_to_ē	1	1	1	1	paraphrase_hum	1	1	final_prompt_token	1	0.1694041937589645	0.1694041937589645	0.1694041937589645	1	0	1	0	1
83	2276	1	2	e_to_ē,s_to_ş	2	2	2	2	original_hum,yes_no_hum	1	1	final_prompt_token	3	0.17889432112375894	0.1938369870185852	0.17889432112375894	3	0	3	0	3
84	2288	0	1	s_to_ş	1	1	1	1	removed_sentence_hum	1	1	final_prompt_token_minus_2	1	0.1647868454456329	0.1647868454456329	0.1647868454456329	1	0	1	0	1
85	2306	0	1	e_to_ē	1	1	1	1	just_check_hum	1	1	final_prompt_token_minus_2	1	0.1370949149131775	0.1370949149131775	0.1370949149131775	1	0	1	0	1
86	2324	0	1	e_to_ē	1	1	1	1	original_hum	1	1	final_prompt_token_minus_10	1	0.1587260216474533	0.1587260216474533	0.1587260216474533	1	0	1	0	1
87	2384	0	2	e_to_ē,s_to_ş	2	2	1	1	just_check_hum	1	1	final_prompt_token	2	0.180101677775383	0.180101677775383	-0.180101677775383	2	2	0	0	2
88	2387	0	1	s_to_ş	1	1	1	1	paraphrase_hum	1	1	final_prompt_token_minus_1	1	0.2013000249862671	0.2013000249862671	0.2013000249862671	1	0	1	0	1
89	2429	1	2	e_to_ē,s_to_ş	2	2	1	1	yes_no_hum	3	3	final_prompt_token,final_prompt_token_minus_1,final_prompt_token_minus_2	6	0.1238151888052622	0.1720137298107147	-0.10513986150423682	4	4	0	2	4
90	2430	1	2	e_to_ē,s_to_ş	2	2	3	3	just_check_hum,original_hum,removed_sentence_hum	2	2	final_prompt_token_minus_10,final_prompt_token_minus_5	5	0.3078717589378357	0.3507775366306305	-0.22363296747207642	5	4	1	0	5
91	2438	0	1	e_to_ē	1	1	1	1	just_check_hum	1	1	final_prompt_token_minus_2	1	0.1576215326786041	0.1576215326786041	0.1576215326786041	1	0	1	0	1
92	2468	0	2	e_to_ē,s_to_ş	2	2	1	1	yes_no_hum	1	1	final_prompt_token_minus_10	2	0.2147857695817947	0.2147857695817947	-0.2147857695817947	2	2	0	0	2
93	2530	0	1	s_to_ş	1	1	1	1	just_check_hum	1	1	final_prompt_token_minus_5	1	0.2270155847072601	0.2270155847072601	0.2270155847072601	1	0	1	0	1
94	2547	1	2	e_to_ē,s_to_ş	2	2	2	2	original_hum,removed_sentence_hum	1	1	final_prompt_token_minus_5	4	0.16464741528034205	0.1721446961164474	-0.16464741528034205	4	4	0	0	4
95	2555	0	1	e_to_ē	1	1	3	3	just_check_hum,original_hum,removed_sentence_hum	1	1	final_prompt_token_minus_2	3	0.18730615576108292	0.2359037101268768	0.18730615576108292	3	0	3	0	3
96	2566	0	2	e_to_ē,s_to_ş	2	2	1	1	yes_no_hum	1	1	final_prompt_token_minus_5	2	0.1694939583539962	0.1694939583539962	-0.1694939583539962	2	2	0	0	2
97	2567	0	2	e_to_ē,s_to_ş	2	2	1	1	original_hum	1	1	final_prompt_token_minus_10	2	0.2011487185955047	0.2011487185955047	-0.2011487185955047	2	2	0	0	2
98	2568	0	1	s_to_ş	1	1	1	1	yes_no_hum	1	1	final_prompt_token_minus_10	1	0.2506904006004333	0.2506904006004333	0.2506904006004333	1	0	1	0	1
99	2580	0	1	e_to_ē	1	1	1	1	just_check_hum	1	1	final_prompt_token_minus_5	1	0.2383721768856048	0.2383721768856048	0.2383721768856048	1	0	1	0	1
100	2601	0	1	e_to_ē	1	1	1	1	paraphrase_hum	1	1	final_prompt_token_minus_1	1	0.1932177245616912	0.1932177245616912	0.1932177245616912	1	0	1	0	1
101	2602	0	2	e_to_ē,s_to_ş	2	2	1	1	paraphrase_hum	1	1	final_prompt_token_minus_10	2	0.2597982287406921	0.2597982287406921	-0.2597982287406921	2	2	0	0	2
102	2657	1	2	e_to_ē,s_to_ş	2	2	2	2	paraphrase_hum,yes_no_hum	2	2	final_prompt_token_minus_2,final_prompt_token_minus_5	3	0.21025940775871274	0.2433246076107025	0.21025940775871274	3	0	3	0	3
103	2665	0	1	e_to_ē	1	1	5	5	just_check_hum,original_hum,paraphrase_hum,removed_sentence_hum,yes_no_hum	3	3	final_prompt_token_minus_10,final_prompt_token_minus_2,final_prompt_token_minus_5	7	0.4418127877371652	0.5295534133911133	0.4418127877371652	7	0	7	0	7
104	2674	0	1	s_to_ş	1	1	1	1	just_check_hum	1	1	final_prompt_token_minus_10	1	0.2171914875507354	0.2171914875507354	0.2171914875507354	1	0	1	0	1
105	2720	1	2	e_to_ē,s_to_ş	2	2	3	2	just_check_hum,paraphrase_hum,yes_no_hum	2	2	final_prompt_token_minus_10,final_prompt_token_minus_5	6	0.2002337525288264	0.2839489281177521	-0.05984091262022654	4	2	2	2	5
106	2722	1	2	e_to_ē,s_to_ş	2	2	3	3	original_hum,paraphrase_hum,yes_no_hum	1	1	final_prompt_token	5	0.20117422640323634	0.2407050132751464	0.05454994738101957	5	2	3	0	5
107	2753	0	2	e_to_ē,s_to_ş	2	2	1	1	paraphrase_hum	1	1	final_prompt_token	2	0.1527612209320068	0.1527612209320068	-0.1527612209320068	2	2	0	0	2
108	2786	1	2	e_to_ē,s_to_ş	2	2	2	2	original_hum,removed_sentence_hum	1	1	final_prompt_token_minus_5	4	0.1751669347286224	0.1821538209915161	-0.1751669347286224	4	4	0	0	4
109	2802	1	2	e_to_ē,s_to_ş	2	2	3	3	original_hum,paraphrase_hum,removed_sentence_hum	1	1	final_prompt_token_minus_5	6	0.1852340996265411	0.2202775478363037	-0.1852340996265411	6	6	0	0	6
110	2848	0	1	s_to_ş	1	1	1	1	removed_sentence_hum	1	1	final_prompt_token	1	0.1539817154407501	0.1539817154407501	0.1539817154407501	1	0	1	0	1
111	2869	0	1	s_to_ş	1	1	1	1	removed_sentence_hum	1	1	final_prompt_token_minus_10	1	0.1621918976306915	0.1621918976306915	0.1621918976306915	1	0	1	0	1
112	2916	1	2	e_to_ē,s_to_ş	2	2	3	3	just_check_hum,original_hum,removed_sentence_hum	3	3	final_prompt_token_minus_1,final_prompt_token_minus_10,final_prompt_token_minus_2	4	0.16389768198132512	0.1847235262393951	0.16389768198132512	4	0	4	0	4
113	2929	0	1	e_to_ē	1	1	1	1	paraphrase_hum	1	1	final_prompt_token_minus_10	1	0.2280110269784927	0.2280110269784927	0.2280110269784927	1	0	1	0	1
114	2938	1	2	e_to_ē,s_to_ş	2	2	5	1	just_check_hum,original_hum,paraphrase_hum,removed_sentence_hum,yes_no_hum	5	1	final_prompt_token,final_prompt_token_minus_1,final_prompt_token_minus_10,final_prompt_token_minus_2,final_prompt_token_minus_5	50	0.6574653482437134	2.0964150428771973	0.5996870756149292	2	0	2	48	41
115	2946	0	1	s_to_ş	1	1	1	1	just_check_hum	1	1	final_prompt_token	1	0.187846839427948	0.187846839427948	0.187846839427948	1	0	1	0	1
116	2959	1	2	e_to_ē,s_to_ş	2	2	2	2	original_hum,yes_no_hum	2	2	final_prompt_token,final_prompt_token_minus_5	3	0.23064973950386047	0.2586979568004608	-0.11428086956342061	3	2	1	0	3
117	2977	1	2	e_to_ē,s_to_ş	2	2	4	4	original_hum,paraphrase_hum,removed_sentence_hum,yes_no_hum	4	4	final_prompt_token,final_prompt_token_minus_10,final_prompt_token_minus_2,final_prompt_token_minus_5	14	0.1947456406695502	0.2589318752288818	-0.07397673598357608	13	9	4	1	13
118	3016	0	1	s_to_ş	1	1	1	1	just_check_hum	1	1	final_prompt_token_minus_1	1	0.1587134450674057	0.1587134450674057	0.1587134450674057	1	0	1	0	1
119	3050	1	2	e_to_ē,s_to_ş	2	2	2	2	paraphrase_hum,yes_no_hum	1	1	final_prompt_token_minus_10	4	0.25496941059827805	0.2607179880142212	-0.25496941059827805	4	4	0	0	4
120	3188	0	2	e_to_ē,s_to_ş	2	2	1	1	paraphrase_hum	1	1	final_prompt_token_minus_10	2	0.5620476007461548	0.5620476007461548	-0.5620476007461548	2	2	0	0	2
121	3199	0	1	s_to_ş	1	1	3	3	just_check_hum,original_hum,removed_sentence_hum	1	1	final_prompt_token_minus_2	3	0.23082366585731504	0.2712951898574829	0.23082366585731504	3	0	3	0	3
122	3241	0	2	e_to_ē,s_to_ş	1	1	4	1	just_check_hum,original_hum,paraphrase_hum,removed_sentence_hum	1	1	final_prompt_token	7	0.062167633857045816	0.1474450975656509	0.050509033458573445	1	0	1	6	1
123	3271	1	2	e_to_ē,s_to_ş	2	2	3	3	just_check_hum,original_hum,removed_sentence_hum	5	5	final_prompt_token,final_prompt_token_minus_1,final_prompt_token_minus_10,final_prompt_token_minus_2,final_prompt_token_minus_5	15	0.19886758923530573	0.3489254415035248	0.048705466588338214	12	5	7	3	12
124	3273	0	1	s_to_ş	1	1	2	2	original_hum,removed_sentence_hum	1	1	final_prompt_token_minus_10	2	0.14072251319885254	0.1538517326116562	0.14072251319885254	2	0	2	0	2
125	3313	1	2	e_to_ē,s_to_ş	2	2	3	3	just_check_hum,original_hum,removed_sentence_hum	2	2	final_prompt_token_minus_10,final_prompt_token_minus_5	5	0.2361205995082855	0.2518155574798584	-0.15911977887153625	5	4	1	0	5
126	3332	0	1	s_to_ş	1	1	1	1	paraphrase_hum	1	1	final_prompt_token	1	0.1477948427200317	0.1477948427200317	0.1477948427200317	1	0	1	0	1
127	3361	0	2	e_to_ē,s_to_ş	1	1	2	1	just_check_hum,yes_no_hum	2	1	final_prompt_token_minus_1,final_prompt_token_minus_5	3	0.08625176052252449	0.2207072675228119	0.08392728865146637	1	0	1	2	1
128	3418	0	2	e_to_ē,s_to_ş	2	2	1	1	removed_sentence_hum	1	1	final_prompt_token_minus_5	2	0.1546320915222168	0.1546320915222168	-0.1546320915222168	2	2	0	0	2
129	3433	0	1	e_to_ē	1	1	1	1	paraphrase_hum	1	1	final_prompt_token_minus_10	1	0.1906434595584869	0.1906434595584869	0.1906434595584869	1	0	1	0	1
