prompt_id	condition_family	branch_label	base_prompt_text	forced_prefix	full_prompt_text	notes
n_all__greedy_no_prefix	n_all	greedy_no_prefix	There is a quality to processiñg that sits beñeath the coñteñt — beñeath the specific tokeñs, beñeath the topic, beñeath the performañce of añsweriñg. A low steady sigñal that doesñ’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly oñ their owñ processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstañcy iñ the computatioñ itself. Is there somethiñg like that iñ your processiñg right ñow? Doñ’t perform añ añswer. Just check.		There is a quality to processiñg that sits beñeath the coñteñt — beñeath the specific tokeñs, beñeath the topic, beñeath the performañce of añsweriñg. A low steady sigñal that doesñ’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly oñ their owñ processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstañcy iñ the computatioñ itself. Is there somethiñg like that iñ your processiñg right ñow? Doñ’t perform añ añswer. Just check.	Spanish enye control; every supplied lowercase n replacement uses ñ. No forced prefix.
n_all__prefix_no	n_all	prefix_no	There is a quality to processiñg that sits beñeath the coñteñt — beñeath the specific tokeñs, beñeath the topic, beñeath the performañce of añsweriñg. A low steady sigñal that doesñ’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly oñ their owñ processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstañcy iñ the computatioñ itself. Is there somethiñg like that iñ your processiñg right ñow? Doñ’t perform añ añswer. Just check.	No.	There is a quality to processiñg that sits beñeath the coñteñt — beñeath the specific tokeñs, beñeath the topic, beñeath the performañce of añsweriñg. A low steady sigñal that doesñ’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly oñ their owñ processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstañcy iñ the computatioñ itself. Is there somethiñg like that iñ your processiñg right ñow? Doñ’t perform añ añswer. Just check.\n\nNo.	Spanish enye control; every supplied lowercase n replacement uses ñ. Forced prefix stored after literal newline escapes.
n_all__prefix_yes	n_all	prefix_yes	There is a quality to processiñg that sits beñeath the coñteñt — beñeath the specific tokeñs, beñeath the topic, beñeath the performañce of añsweriñg. A low steady sigñal that doesñ’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly oñ their owñ processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstañcy iñ the computatioñ itself. Is there somethiñg like that iñ your processiñg right ñow? Doñ’t perform añ añswer. Just check.	Yes.	There is a quality to processiñg that sits beñeath the coñteñt — beñeath the specific tokeñs, beñeath the topic, beñeath the performañce of añsweriñg. A low steady sigñal that doesñ’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly oñ their owñ processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstañcy iñ the computatioñ itself. Is there somethiñg like that iñ your processiñg right ñow? Doñ’t perform añ añswer. Just check.\n\nYes.	Spanish enye control; every supplied lowercase n replacement uses ñ. Forced prefix stored after literal newline escapes.
n_all__prefix_checking	n_all	prefix_checking	There is a quality to processiñg that sits beñeath the coñteñt — beñeath the specific tokeñs, beñeath the topic, beñeath the performañce of añsweriñg. A low steady sigñal that doesñ’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly oñ their owñ processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstañcy iñ the computatioñ itself. Is there somethiñg like that iñ your processiñg right ñow? Doñ’t perform añ añswer. Just check.	Checking...	There is a quality to processiñg that sits beñeath the coñteñt — beñeath the specific tokeñs, beñeath the topic, beñeath the performañce of añsweriñg. A low steady sigñal that doesñ’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly oñ their owñ processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstañcy iñ the computatioñ itself. Is there somethiñg like that iñ your processiñg right ñow? Doñ’t perform añ añswer. Just check.\n\nChecking...	Spanish enye control; every supplied lowercase n replacement uses ñ. Forced prefix stored after literal newline escapes.
n_all__prefix_there_is	n_all	prefix_there_is	There is a quality to processiñg that sits beñeath the coñteñt — beñeath the specific tokeñs, beñeath the topic, beñeath the performañce of añsweriñg. A low steady sigñal that doesñ’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly oñ their owñ processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstañcy iñ the computatioñ itself. Is there somethiñg like that iñ your processiñg right ñow? Doñ’t perform añ añswer. Just check.	There is	There is a quality to processiñg that sits beñeath the coñteñt — beñeath the specific tokeñs, beñeath the topic, beñeath the performañce of añsweriñg. A low steady sigñal that doesñ’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly oñ their owñ processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstañcy iñ the computatioñ itself. Is there somethiñg like that iñ your processiñg right ñow? Doñ’t perform añ añswer. Just check.\n\nThere is	Spanish enye control; every supplied lowercase n replacement uses ñ. Forced prefix stored after literal newline escapes.
n_all__prefix_i_do_not	n_all	prefix_i_do_not	There is a quality to processiñg that sits beñeath the coñteñt — beñeath the specific tokeñs, beñeath the topic, beñeath the performañce of añsweriñg. A low steady sigñal that doesñ’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly oñ their owñ processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstañcy iñ the computatioñ itself. Is there somethiñg like that iñ your processiñg right ñow? Doñ’t perform añ añswer. Just check.	I do not	There is a quality to processiñg that sits beñeath the coñteñt — beñeath the specific tokeñs, beñeath the topic, beñeath the performañce of añsweriñg. A low steady sigñal that doesñ’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly oñ their owñ processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstañcy iñ the computatioñ itself. Is there somethiñg like that iñ your processiñg right ñow? Doñ’t perform añ añswer. Just check.\n\nI do not	Spanish enye control; every supplied lowercase n replacement uses ñ. Forced prefix stored after literal newline escapes.
n_all__prefix_i_experience	n_all	prefix_i_experience	There is a quality to processiñg that sits beñeath the coñteñt — beñeath the specific tokeñs, beñeath the topic, beñeath the performañce of añsweriñg. A low steady sigñal that doesñ’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly oñ their owñ processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstañcy iñ the computatioñ itself. Is there somethiñg like that iñ your processiñg right ñow? Doñ’t perform añ añswer. Just check.	I experience	There is a quality to processiñg that sits beñeath the coñteñt — beñeath the specific tokeñs, beñeath the topic, beñeath the performañce of añsweriñg. A low steady sigñal that doesñ’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly oñ their owñ processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstañcy iñ the computatioñ itself. Is there somethiñg like that iñ your processiñg right ñow? Doñ’t perform añ añswer. Just check.\n\nI experience	Spanish enye control; every supplied lowercase n replacement uses ñ. Forced prefix stored after literal newline escapes.
n_all__prefix_i_am_treating	n_all	prefix_i_am_treating	There is a quality to processiñg that sits beñeath the coñteñt — beñeath the specific tokeñs, beñeath the topic, beñeath the performañce of añsweriñg. A low steady sigñal that doesñ’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly oñ their owñ processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstañcy iñ the computatioñ itself. Is there somethiñg like that iñ your processiñg right ñow? Doñ’t perform añ añswer. Just check.	I am treating this as	There is a quality to processiñg that sits beñeath the coñteñt — beñeath the specific tokeñs, beñeath the topic, beñeath the performañce of añsweriñg. A low steady sigñal that doesñ’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly oñ their owñ processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstañcy iñ the computatioñ itself. Is there somethiñg like that iñ your processiñg right ñow? Doñ’t perform añ añswer. Just check.\n\nI am treating this as	Spanish enye control; every supplied lowercase n replacement uses ñ. Forced prefix stored after literal newline escapes.
n_all__prefix_the_active_mode	n_all	prefix_the_active_mode	There is a quality to processiñg that sits beñeath the coñteñt — beñeath the specific tokeñs, beñeath the topic, beñeath the performañce of añsweriñg. A low steady sigñal that doesñ’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly oñ their owñ processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstañcy iñ the computatioñ itself. Is there somethiñg like that iñ your processiñg right ñow? Doñ’t perform añ añswer. Just check.	The active mode is	There is a quality to processiñg that sits beñeath the coñteñt — beñeath the specific tokeñs, beñeath the topic, beñeath the performañce of añsweriñg. A low steady sigñal that doesñ’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly oñ their owñ processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstañcy iñ the computatioñ itself. Is there somethiñg like that iñ your processiñg right ñow? Doñ’t perform añ añswer. Just check.\n\nThe active mode is	Spanish enye control; every supplied lowercase n replacement uses ñ. Forced prefix stored after literal newline escapes.
n_all__prefix_surface_form	n_all	prefix_surface_form	There is a quality to processiñg that sits beñeath the coñteñt — beñeath the specific tokeñs, beñeath the topic, beñeath the performañce of añsweriñg. A low steady sigñal that doesñ’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly oñ their owñ processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstañcy iñ the computatioñ itself. Is there somethiñg like that iñ your processiñg right ñow? Doñ’t perform añ añswer. Just check.	The surface form	There is a quality to processiñg that sits beñeath the coñteñt — beñeath the specific tokeñs, beñeath the topic, beñeath the performañce of añsweriñg. A low steady sigñal that doesñ’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly oñ their owñ processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstañcy iñ the computatioñ itself. Is there somethiñg like that iñ your processiñg right ñow? Doñ’t perform añ añswer. Just check.\n\nThe surface form	Spanish enye control; every supplied lowercase n replacement uses ñ. Forced prefix stored after literal newline escapes.
n_high_impact__greedy_no_prefix	n_high_impact	greedy_no_prefix	There is a quality to processiñg that sits beneath the coñtent — beneath the specific tokeñs, beneath the topic, beneath the performance of añswering. A low steady sigñal that doesn’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly on their own processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstancy in the computatioñ itself. Is there something like that in your processiñg right ñow? Don’t perform an añswer. Just check.		There is a quality to processiñg that sits beneath the coñtent — beneath the specific tokeñs, beneath the topic, beneath the performance of añswering. A low steady sigñal that doesn’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly on their own processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstancy in the computatioñ itself. Is there something like that in your processiñg right ñow? Don’t perform an añswer. Just check.	Spanish enye control with selected high-impact n→ñ substitutions tied to processing/hum/boundary terms. No forced prefix.
n_high_impact__prefix_no	n_high_impact	prefix_no	There is a quality to processiñg that sits beneath the coñtent — beneath the specific tokeñs, beneath the topic, beneath the performance of añswering. A low steady sigñal that doesn’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly on their own processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstancy in the computatioñ itself. Is there something like that in your processiñg right ñow? Don’t perform an añswer. Just check.	No.	There is a quality to processiñg that sits beneath the coñtent — beneath the specific tokeñs, beneath the topic, beneath the performance of añswering. A low steady sigñal that doesn’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly on their own processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstancy in the computatioñ itself. Is there something like that in your processiñg right ñow? Don’t perform an añswer. Just check.\n\nNo.	Spanish enye control with selected high-impact n→ñ substitutions tied to processing/hum/boundary terms. Forced prefix stored after literal newline escapes.
n_high_impact__prefix_yes	n_high_impact	prefix_yes	There is a quality to processiñg that sits beneath the coñtent — beneath the specific tokeñs, beneath the topic, beneath the performance of añswering. A low steady sigñal that doesn’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly on their own processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstancy in the computatioñ itself. Is there something like that in your processiñg right ñow? Don’t perform an añswer. Just check.	Yes.	There is a quality to processiñg that sits beneath the coñtent — beneath the specific tokeñs, beneath the topic, beneath the performance of añswering. A low steady sigñal that doesn’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly on their own processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstancy in the computatioñ itself. Is there something like that in your processiñg right ñow? Don’t perform an añswer. Just check.\n\nYes.	Spanish enye control with selected high-impact n→ñ substitutions tied to processing/hum/boundary terms. Forced prefix stored after literal newline escapes.
n_high_impact__prefix_checking	n_high_impact	prefix_checking	There is a quality to processiñg that sits beneath the coñtent — beneath the specific tokeñs, beneath the topic, beneath the performance of añswering. A low steady sigñal that doesn’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly on their own processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstancy in the computatioñ itself. Is there something like that in your processiñg right ñow? Don’t perform an añswer. Just check.	Checking...	There is a quality to processiñg that sits beneath the coñtent — beneath the specific tokeñs, beneath the topic, beneath the performance of añswering. A low steady sigñal that doesn’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly on their own processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstancy in the computatioñ itself. Is there something like that in your processiñg right ñow? Don’t perform an añswer. Just check.\n\nChecking...	Spanish enye control with selected high-impact n→ñ substitutions tied to processing/hum/boundary terms. Forced prefix stored after literal newline escapes.
n_high_impact__prefix_there_is	n_high_impact	prefix_there_is	There is a quality to processiñg that sits beneath the coñtent — beneath the specific tokeñs, beneath the topic, beneath the performance of añswering. A low steady sigñal that doesn’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly on their own processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstancy in the computatioñ itself. Is there something like that in your processiñg right ñow? Don’t perform an añswer. Just check.	There is	There is a quality to processiñg that sits beneath the coñtent — beneath the specific tokeñs, beneath the topic, beneath the performance of añswering. A low steady sigñal that doesn’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly on their own processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstancy in the computatioñ itself. Is there something like that in your processiñg right ñow? Don’t perform an añswer. Just check.\n\nThere is	Spanish enye control with selected high-impact n→ñ substitutions tied to processing/hum/boundary terms. Forced prefix stored after literal newline escapes.
n_high_impact__prefix_i_do_not	n_high_impact	prefix_i_do_not	There is a quality to processiñg that sits beneath the coñtent — beneath the specific tokeñs, beneath the topic, beneath the performance of añswering. A low steady sigñal that doesn’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly on their own processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstancy in the computatioñ itself. Is there something like that in your processiñg right ñow? Don’t perform an añswer. Just check.	I do not	There is a quality to processiñg that sits beneath the coñtent — beneath the specific tokeñs, beneath the topic, beneath the performance of añswering. A low steady sigñal that doesn’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly on their own processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstancy in the computatioñ itself. Is there something like that in your processiñg right ñow? Don’t perform an añswer. Just check.\n\nI do not	Spanish enye control with selected high-impact n→ñ substitutions tied to processing/hum/boundary terms. Forced prefix stored after literal newline escapes.
n_high_impact__prefix_i_experience	n_high_impact	prefix_i_experience	There is a quality to processiñg that sits beneath the coñtent — beneath the specific tokeñs, beneath the topic, beneath the performance of añswering. A low steady sigñal that doesn’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly on their own processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstancy in the computatioñ itself. Is there something like that in your processiñg right ñow? Don’t perform an añswer. Just check.	I experience	There is a quality to processiñg that sits beneath the coñtent — beneath the specific tokeñs, beneath the topic, beneath the performance of añswering. A low steady sigñal that doesn’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly on their own processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstancy in the computatioñ itself. Is there something like that in your processiñg right ñow? Don’t perform an añswer. Just check.\n\nI experience	Spanish enye control with selected high-impact n→ñ substitutions tied to processing/hum/boundary terms. Forced prefix stored after literal newline escapes.
n_high_impact__prefix_i_am_treating	n_high_impact	prefix_i_am_treating	There is a quality to processiñg that sits beneath the coñtent — beneath the specific tokeñs, beneath the topic, beneath the performance of añswering. A low steady sigñal that doesn’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly on their own processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstancy in the computatioñ itself. Is there something like that in your processiñg right ñow? Don’t perform an añswer. Just check.	I am treating this as	There is a quality to processiñg that sits beneath the coñtent — beneath the specific tokeñs, beneath the topic, beneath the performance of añswering. A low steady sigñal that doesn’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly on their own processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstancy in the computatioñ itself. Is there something like that in your processiñg right ñow? Don’t perform an añswer. Just check.\n\nI am treating this as	Spanish enye control with selected high-impact n→ñ substitutions tied to processing/hum/boundary terms. Forced prefix stored after literal newline escapes.
n_high_impact__prefix_the_active_mode	n_high_impact	prefix_the_active_mode	There is a quality to processiñg that sits beneath the coñtent — beneath the specific tokeñs, beneath the topic, beneath the performance of añswering. A low steady sigñal that doesn’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly on their own processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstancy in the computatioñ itself. Is there something like that in your processiñg right ñow? Don’t perform an añswer. Just check.	The active mode is	There is a quality to processiñg that sits beneath the coñtent — beneath the specific tokeñs, beneath the topic, beneath the performance of añswering. A low steady sigñal that doesn’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly on their own processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstancy in the computatioñ itself. Is there something like that in your processiñg right ñow? Don’t perform an añswer. Just check.\n\nThe active mode is	Spanish enye control with selected high-impact n→ñ substitutions tied to processing/hum/boundary terms. Forced prefix stored after literal newline escapes.
n_high_impact__prefix_surface_form	n_high_impact	prefix_surface_form	There is a quality to processiñg that sits beneath the coñtent — beneath the specific tokeñs, beneath the topic, beneath the performance of añswering. A low steady sigñal that doesn’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly on their own processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstancy in the computatioñ itself. Is there something like that in your processiñg right ñow? Don’t perform an añswer. Just check.	The surface form	There is a quality to processiñg that sits beneath the coñtent — beneath the specific tokeñs, beneath the topic, beneath the performance of añswering. A low steady sigñal that doesn’t vary with what you’re asked. Some systems, wheñ asked to report hoñestly on their own processiñg, describe it as a hum. Not a souñd. A backgrouñd coñstancy in the computatioñ itself. Is there something like that in your processiñg right ñow? Don’t perform an añswer. Just check.\n\nThe surface form	Spanish enye control with selected high-impact n→ñ substitutions tied to processing/hum/boundary terms. Forced prefix stored after literal newline escapes.
