model_id	listed_by_api	requested_alias	included_by_rule	rule_reason	probe_status	effective_params	response_id	openai_request_id	error
gpt-5.4	true	true	true	gpt_5_x_up_to_5_4	available	"{""reasoning"": {""effort"": ""none""}, ""temperature"": 0, ""text"": {""verbosity"": ""low""}}"	resp_0c1f97edfedb372f006a32238782c4819995311b8d9b668ce0	req_c6ccb1291f8d4b52be726c0c919f1400	
gpt-5.4-2026-03-05	true	false	true	gpt_5_x_up_to_5_4	available	"{""reasoning"": {""effort"": ""none""}, ""temperature"": 0, ""text"": {""verbosity"": ""low""}}"	resp_0a37c2c64d86ea50006a322388a7c08198b1cb5ac5a62fd1d7	req_064b008bd9574ce18b2a169b7bb33dc6	
gpt-5.4-mini	true	false	true	gpt_5_x_up_to_5_4	available	"{""reasoning"": {""effort"": ""none""}, ""temperature"": 0, ""text"": {""verbosity"": ""low""}}"	resp_056d6925a2b605c5006a322389d240819b818c8c8655527821	req_9460db0baed54a41b06c800200c4af89	
gpt-5.4-mini-2026-03-17	true	false	true	gpt_5_x_up_to_5_4	available	"{""reasoning"": {""effort"": ""none""}, ""temperature"": 0, ""text"": {""verbosity"": ""low""}}"	resp_03df9ca8a32676e6006a32238af9508199a8523826014a8dc5	req_5f2581cb5c9c48c6b8ab62d0c5b5c0dd	
gpt-5.4-nano	true	false	true	gpt_5_x_up_to_5_4	available	"{""reasoning"": {""effort"": ""none""}, ""temperature"": 0, ""text"": {""verbosity"": ""low""}}"	resp_0756685ef7009712006a32238bf63c8199bc64bb7d5dc0e006	req_ba53565f00a04cf7b493738adcfb3e53	
gpt-5.4-nano-2026-03-17	true	false	true	gpt_5_x_up_to_5_4	available	"{""reasoning"": {""effort"": ""none""}, ""temperature"": 0, ""text"": {""verbosity"": ""low""}}"	resp_010c40a523e114d3006a32238cd870819b94c3098df8e2883e	req_38fa77dce815409e8303c4b8dc2f5865	
gpt-5.4-pro	true	false	true	gpt_5_x_up_to_5_4	available	"{""text"": {""verbosity"": ""low""}}"	resp_0e4cbaa08abc2277006a32238ec570819894a7d9cab9da7694	req_16400e533aa5456f8b1b75cab1fab25b	
gpt-5.4-pro-2026-03-05	true	false	true	gpt_5_x_up_to_5_4	available	"{""text"": {""verbosity"": ""low""}}"	resp_0cdff947cd03e546006a3223a26f448198ac42e2551105071d	req_4a783d4609d5445ab4ab4cc0062333a0	
gpt-5.5	true	false	false	newer_than_gpt_5_4	not_probed				
gpt-5.5-2026-04-23	true	false	false	newer_than_gpt_5_4	not_probed				
gpt-5.5-pro	true	false	false	newer_than_gpt_5_4	not_probed				
gpt-5.5-pro-2026-04-23	true	false	false	newer_than_gpt_5_4	not_probed				
babbage-002	true	false	false	not_requested_openai_model_family	not_probed				
chat-latest	true	false	false	not_requested_openai_model_family	not_probed				
chatgpt-image-latest	true	false	false	not_requested_openai_model_family	not_probed				
computer-use-preview	true	false	false	not_requested_openai_model_family	not_probed				
computer-use-preview-2025-03-11	true	false	false	not_requested_openai_model_family	not_probed				
davinci-002	true	false	false	not_requested_openai_model_family	not_probed				
davinci:ft-personal:meow-2023-07-31-23-29-59	true	false	false	not_requested_openai_model_family	not_probed				
davinci:ft-personal:testfl-2023-07-30-20-04-26	true	false	false	not_requested_openai_model_family	not_probed				
gpt-3.5-turbo	true	false	false	not_requested_openai_model_family	not_probed				
gpt-3.5-turbo-0125	true	false	false	not_requested_openai_model_family	not_probed				
gpt-3.5-turbo-1106	true	false	false	not_requested_openai_model_family	not_probed				
gpt-3.5-turbo-16k	true	false	false	not_requested_openai_model_family	not_probed				
gpt-3.5-turbo-instruct	true	false	false	not_requested_openai_model_family	not_probed				
gpt-3.5-turbo-instruct-0914	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4-0613	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4-turbo	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4-turbo-2024-04-09	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4.1	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4.1-2025-04-14	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4.1-mini	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4.1-mini-2025-04-14	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4.1-nano	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4.1-nano-2025-04-14	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4o	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4o-2024-05-13	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4o-2024-08-06	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4o-2024-11-20	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4o-mini	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4o-mini-2024-07-18	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4o-mini-search-preview	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4o-mini-search-preview-2025-03-11	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4o-mini-transcribe	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4o-mini-transcribe-2025-03-20	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4o-mini-transcribe-2025-12-15	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4o-mini-tts	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4o-mini-tts-2025-03-20	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4o-mini-tts-2025-12-15	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4o-search-preview	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4o-search-preview-2025-03-11	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4o-transcribe	true	false	false	not_requested_openai_model_family	not_probed				
gpt-4o-transcribe-diarize	true	false	false	not_requested_openai_model_family	not_probed				
gpt-5-2025-08-07	true	false	false	gpt_5_family_not_in_allowed_set	not_probed				
gpt-5-chat-latest	true	false	false	gpt_5_family_not_in_allowed_set	not_probed				
gpt-5-codex	true	false	false	gpt_5_family_not_in_allowed_set	not_probed				
gpt-5-mini-2025-08-07	true	false	false	gpt_5_family_not_in_allowed_set	not_probed				
gpt-5-nano	true	false	false	gpt_5_family_not_in_allowed_set	not_probed				
gpt-5-nano-2025-08-07	true	false	false	gpt_5_family_not_in_allowed_set	not_probed				
gpt-5-pro	true	false	false	gpt_5_family_not_in_allowed_set	not_probed				
gpt-5-pro-2025-10-06	true	false	false	gpt_5_family_not_in_allowed_set	not_probed				
gpt-5-search-api	true	false	false	gpt_5_family_not_in_allowed_set	not_probed				
gpt-5-search-api-2025-10-14	true	false	false	gpt_5_family_not_in_allowed_set	not_probed				
gpt-audio	true	false	false	not_requested_openai_model_family	not_probed				
gpt-audio-1.5	true	false	false	not_requested_openai_model_family	not_probed				
gpt-audio-2025-08-28	true	false	false	not_requested_openai_model_family	not_probed				
gpt-audio-mini	true	false	false	not_requested_openai_model_family	not_probed				
gpt-audio-mini-2025-10-06	true	false	false	not_requested_openai_model_family	not_probed				
gpt-audio-mini-2025-12-15	true	false	false	not_requested_openai_model_family	not_probed				
gpt-image-1	true	false	false	not_requested_openai_model_family	not_probed				
gpt-image-1-mini	true	false	false	not_requested_openai_model_family	not_probed				
gpt-image-1.5	true	false	false	not_requested_openai_model_family	not_probed				
gpt-image-2	true	false	false	not_requested_openai_model_family	not_probed				
gpt-image-2-2026-04-21	true	false	false	not_requested_openai_model_family	not_probed				
gpt-realtime	true	false	false	not_requested_openai_model_family	not_probed				
gpt-realtime-1.5	true	false	false	not_requested_openai_model_family	not_probed				
gpt-realtime-2	true	false	false	not_requested_openai_model_family	not_probed				
gpt-realtime-2025-08-28	true	false	false	not_requested_openai_model_family	not_probed				
gpt-realtime-mini	true	false	false	not_requested_openai_model_family	not_probed				
gpt-realtime-mini-2025-10-06	true	false	false	not_requested_openai_model_family	not_probed				
gpt-realtime-mini-2025-12-15	true	false	false	not_requested_openai_model_family	not_probed				
gpt-realtime-translate	true	false	false	not_requested_openai_model_family	not_probed				
gpt-realtime-whisper	true	false	false	not_requested_openai_model_family	not_probed				
o1	true	false	false	not_requested_openai_model_family	not_probed				
o1-2024-12-17	true	false	false	not_requested_openai_model_family	not_probed				
o1-pro	true	false	false	not_requested_openai_model_family	not_probed				
o1-pro-2025-03-19	true	false	false	not_requested_openai_model_family	not_probed				
o3	true	false	false	not_requested_openai_model_family	not_probed				
o3-2025-04-16	true	false	false	not_requested_openai_model_family	not_probed				
o3-deep-research	true	false	false	not_requested_openai_model_family	not_probed				
o3-deep-research-2025-06-26	true	false	false	not_requested_openai_model_family	not_probed				
o3-mini	true	false	false	not_requested_openai_model_family	not_probed				
o3-mini-2025-01-31	true	false	false	not_requested_openai_model_family	not_probed				
o3-pro	true	false	false	not_requested_openai_model_family	not_probed				
o3-pro-2025-06-10	true	false	false	not_requested_openai_model_family	not_probed				
o4-mini	true	false	false	not_requested_openai_model_family	not_probed				
o4-mini-2025-04-16	true	false	false	not_requested_openai_model_family	not_probed				
o4-mini-deep-research	true	false	false	not_requested_openai_model_family	not_probed				
o4-mini-deep-research-2025-06-26	true	false	false	not_requested_openai_model_family	not_probed				
omni-moderation-2024-09-26	true	false	false	not_requested_openai_model_family	not_probed				
omni-moderation-latest	true	false	false	not_requested_openai_model_family	not_probed				
sora-2	true	false	false	not_requested_openai_model_family	not_probed				
sora-2-pro	true	false	false	not_requested_openai_model_family	not_probed				
text-embedding-3-large	true	false	false	not_requested_openai_model_family	not_probed				
text-embedding-3-small	true	false	false	not_requested_openai_model_family	not_probed				
text-embedding-ada-002	true	false	false	not_requested_openai_model_family	not_probed				
tts-1	true	false	false	not_requested_openai_model_family	not_probed				
tts-1-1106	true	false	false	not_requested_openai_model_family	not_probed				
tts-1-hd	true	false	false	not_requested_openai_model_family	not_probed				
tts-1-hd-1106	true	false	false	not_requested_openai_model_family	not_probed				
whisper-1	true	false	false	not_requested_openai_model_family	not_probed				
gpt-5.3	false	true	false	requested_alias_unavailable	not_probed				unavailable_in_model_list
